"common.name","scientific.name","frequency"
"thrush sp.","Turdidae sp.",0.01
"vireo sp.","Vireo sp.",0.01
"American Three-toed Woodpecker","Picoides dorsalis",0
"Aythya sp.","Aythya sp.",0
"Bewick's Wren","Thryomanes bewickii",0
"Cackling Goose","Branta hutchinsii",0
"Cackling/Canada Goose","Branta hutchinsii/canadensis",0
"Common Goldeneye x Hooded Merganser (hybrid)","Bucephala clangula x Lophodytes cucullatus",0
"Golden Eagle","Aquila chrysaetos",0
"Golden-winged Warbler","Vermivora chrysoptera",0
"Helmeted Guineafowl","Numida meleagris",0
"Hudsonian Godwit","Limosa haemastica",0
"Lark Bunting","Calamospiza melanocorys",0
"Long-billed Dowitcher","Limnodromus scolopaceus",0
"Northern Bobwhite","Colinus virginianus",0
"Northern Wheatear","Oenanthe oenanthe",0
"Orchard Oriole","Icterus spurius",0
"Parasitic/Pomarine Jaeger","Stercorarius parasiticus/pomarinus",0
"Prothonotary Warbler","Protonotaria citrea",0
"Purple Gallinule","Porphyrio martinica",0
"Red-headed Woodpecker","Melanerpes erythrocephalus",0
"Red-shouldered/Broad-winged Hawk","Buteo lineatus/platypterus",0
"Red/Red-necked Phalarope","Phalaropus fulicarius/lobatus",0
"Redhead","Aythya americana",0
"Ring-necked Pheasant","Phasianus colchicus",0
"Roseate Tern","Sterna dougallii",0
"Ruffed/Spruce Grouse","Bonasa umbellus/Canachites canadensis",0
"Saltmarsh Sparrow","Ammospiza caudacuta",0
"Scissor-tailed Flycatcher","Tyrannus forficatus",0
"Sedge Wren","Cistothorus stellaris",0
"Sharp-shinned/Cooper's Hawk","Accipiter striatus/cooperii",0
"Stilt Sandpiper","Calidris himantopus",0
"Swainson's Warbler","Limnothlypis swainsonii",0
"Swan Goose","Anser cygnoides",0
"Yellow-throated Vireo","Vireo flavifrons",0
"Yellow-throated Warbler","Setophaga dominica",0
"chickadee sp.","Poecile sp.",0
"crow sp.","Corvus sp. (crow sp.)",0
"cuckoo sp. (Cuculidae sp.)","Cuculidae sp.",0
"diurnal raptor sp.","Accipitriformes/Falconiformes sp.",0
"eider sp.","Somateria sp.",0
"large falcon sp.","Falco sp. (large falcon sp.)",0
"nuthatch sp.","Sitta sp.",0
"owl sp.","Strigiformes sp.",0
"phalarope sp.","Phalaropus sp.",0
"storm-petrel sp. (white-rumped)","Oceanitidae/Hydrobatidae sp. (white-rumped)",0
"white-winged gull sp.","Larus sp. (white-winged gull sp.)",0
