"common.name","scientific.name","subspecies","iconic.taxon.name","observed.on","year","month","quality.grade","latitude","longitude","user.login","id","time.observed.at","user.id","license","url","image.url","sound.url","tag.list","description","num.identification.agreements","num.identification.disagreements","captive.cultivated","oauth.application.id","place.guess","positional.accuracy","coordinates.obscured","species.guess","full.scientific.name","taxon.id","kingdom","phylum","class","order","family","genus","OBJECTID.1","park"
"Ruffed Grouse","Bonasa umbellus","","Aves","2018-10-09",2018,10,"research",45.8770587778,-68.7242414284,"vladeb",17380518,"2018-10-09 15:06:37 UTC",583599,"CC-BY-NC","https://www.inaturalist.org/observations/17380518","https://inaturalist-open-data.s3.amazonaws.com/photos/26400205/medium.jpg","","","",3,0,"false",3,"04777, Stacyville, ME, US",1536,"false","Ruffed Grouse","Bonasa umbellus",890,"Animalia","Chordata","Aves","Galliformes","Phasianidae","Bonasa",423,"KAWW"
"White-throated Sparrow","Zonotrichia albicollis","","Aves","2018-10-09",2018,10,"research",45.896074447,-68.7470896471,"vladeb",17390342,"2018-10-09 17:43:16 UTC",583599,"CC-BY-NC","https://www.inaturalist.org/observations/17390342","https://inaturalist-open-data.s3.amazonaws.com/photos/26417539/medium.jpg","","","",1,0,"false",3,"04777, Stacyville, ME, US",3221,"false","White-throated Sparrow","Zonotrichia albicollis",9184,"Animalia","Chordata","Aves","Passeriformes","Passerellidae","Zonotrichia",423,"KAWW"
"White-crowned Sparrow","Zonotrichia leucophrys","","Aves","2018-10-09",2018,10,"research",45.8988259242,-68.7622605478,"vladeb",17447886,"2018-10-09 16:22:47 UTC",583599,"CC-BY-NC","https://www.inaturalist.org/observations/17447886","https://inaturalist-open-data.s3.amazonaws.com/photos/26523504/medium.jpg","","","",2,0,"false",3,"04777, Stacyville, ME, US",2206,"false","White-crowned Sparrow","Zonotrichia leucophrys",9176,"Animalia","Chordata","Aves","Passeriformes","Passerellidae","Zonotrichia",423,"KAWW"
"pearly everlasting","Anaphalis margaritacea","","Plantae","2018-10-09",2018,10,"research",45.8502283333,-68.751305,"vladeb",17453726,"2018-10-09 15:54:03 UTC",583599,"CC-BY-NC","https://www.inaturalist.org/observations/17453726","https://inaturalist-open-data.s3.amazonaws.com/photos/26534852/medium.jpg","","","",3,0,"false",3,"04777, Stacyville, ME, US",6,"false","pearly everlasting","Anaphalis margaritacea",52833,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Anaphalis",423,"KAWW"
"Common Gilled Mushrooms and Allies","","","Fungi","2018-10-09",2018,10,"needs_id",45.86898,-68.7075283333,"vladeb",17453842,"2018-10-09 14:43:42 UTC",583599,"CC-BY-NC","https://www.inaturalist.org/observations/17453842","https://inaturalist-open-data.s3.amazonaws.com/photos/26535205/medium.jpg","","","",0,0,"false",3,"04777, Stacyville, ME, US",48,"false","","Agaricales",47167,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","","",423,"KAWW"
"Bog Labrador Tea","Rhododendron groenlandicum","","Plantae","2017-06-14",2017,6,"research",45.8701888992,-68.7073324875,"jwboreal",17510313,"",1253275,"CC-BY-NC","https://www.inaturalist.org/observations/17510313","https://inaturalist-open-data.s3.amazonaws.com/photos/26643374/medium.jpeg","","","",2,0,"false",NA,"Penobscot County, ME, USA",4,"false","Labrador tea","Rhododendron groenlandicum",180413,"Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Rhododendron",423,"KAWW"
"Silver-bordered Fritillary","Boloria myrina","","Insecta","2017-08-20",2017,8,"research",45.885418,-68.709783,"rogerritt",17986602,"",27795,"CC-BY-NC","https://www.inaturalist.org/observations/17986602","https://inaturalist-open-data.s3.amazonaws.com/photos/27492878/medium.jpeg","","","",1,0,"false",195,"Penobscot County, US-ME, US",NA,"false","American Silver-bordered Fritillary","Boloria myrina",1456428,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Boloria",423,"KAWW"
"Dark-eyed Junco","Junco hyemalis","","Aves","2018-10-09",2018,10,"research",46.0104977149,-68.5914561798,"vladeb",19124213,"2018-10-09 16:28:34 UTC",583599,"CC-BY-NC","https://www.inaturalist.org/observations/19124213","https://inaturalist-open-data.s3.amazonaws.com/photos/29355305/medium.jpg","","","",3,0,"false",3,"04777, Stacyville, ME, US",225,"false","Dark-eyed Junco","Junco hyemalis",10094,"Animalia","Chordata","Aves","Passeriformes","Passerellidae","Junco",423,"KAWW"
"Maine Snaketail","Ophiogomphus mainensis","","Insecta","2019-07-13",2019,7,"research",45.8789746,-68.7475189,"ricknirschl",28772564,"2019-07-13 15:27:00 UTC",552206,"CC-BY-NC","https://www.inaturalist.org/observations/28772564","https://inaturalist-open-data.s3.amazonaws.com/photos/44873949/medium.jpeg","","","",1,0,"false",NA,"Penobscot, ME 04476, USA",182,"false","ophiogomphe du Maine","Ophiogomphus mainensis",107659,"Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Ophiogomphus",423,"KAWW"
"Mustached Clubtail","Hylogomphus adelphus","","Insecta","2019-07-13",2019,7,"research",45.8789746,-68.7475189,"ricknirschl",28773865,"2019-07-13 18:33:00 UTC",552206,"CC-BY-NC","https://www.inaturalist.org/observations/28773865","https://inaturalist-open-data.s3.amazonaws.com/photos/44876312/medium.jpeg","","","",2,0,"false",NA,"Penobscot, ME 04476, USA",182,"false","Mustached Clubtail","Hylogomphus adelphus",520986,"Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Hylogomphus",423,"KAWW"
"Dragonhunter","Hagenius brevistylus","","Insecta","2019-07-13",2019,7,"research",45.8789746,-68.7475189,"ricknirschl",28800457,"2019-07-13 14:44:00 UTC",552206,"CC-BY-NC","https://www.inaturalist.org/observations/28800457","https://inaturalist-open-data.s3.amazonaws.com/photos/44919007/medium.jpeg","","","",2,0,"false",NA,"Penobscot, ME 04476, USA",182,"false","Dragonhunter","Hagenius brevistylus",102006,"Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Hagenius",423,"KAWW"
"","","","Insecta","2019-07-13",2019,7,"needs_id",45.8789746,-68.7475189,"ricknirschl",28800488,"2019-07-13 15:35:00 UTC",552206,"CC-BY-NC","https://www.inaturalist.org/observations/28800488","https://inaturalist-open-data.s3.amazonaws.com/photos/44919063/medium.jpeg","","","",0,0,"false",NA,"Penobscot, ME 04476, USA",182,"false","Hybomitra","Hybomitra",133638,"Animalia","Arthropoda","Insecta","Diptera","Tabanidae","Hybomitra",423,"KAWW"
"Belted Whiteface","Leucorrhinia proxima","","Insecta","2019-07-13",2019,7,"research",45.8789746,-68.7475189,"ricknirschl",28800531,"2019-07-13 16:19:00 UTC",552206,"CC-BY-NC","https://www.inaturalist.org/observations/28800531","https://inaturalist-open-data.s3.amazonaws.com/photos/44919122/medium.jpeg","","","",2,0,"false",NA,"Penobscot, ME 04476, USA",182,"false","Belted Whiteface","Leucorrhinia proxima",104553,"Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Leucorrhinia",423,"KAWW"
"Aurora Damsel","Chromagrion conditum","","Insecta","2019-07-13",2019,7,"research",45.8789746,-68.7475189,"ricknirschl",28800548,"2019-07-13 16:24:00 UTC",552206,"CC-BY-NC","https://www.inaturalist.org/observations/28800548","https://inaturalist-open-data.s3.amazonaws.com/photos/44919172/medium.jpeg","","","",2,0,"false",NA,"Penobscot, ME 04476, USA",182,"false","Aurora Damsel","Chromagrion conditum",97738,"Animalia","Arthropoda","Insecta","Odonata","Coenagrionidae","Chromagrion",423,"KAWW"
"Superb Jewelwing","Calopteryx amata","","Insecta","2019-07-13",2019,7,"research",45.8789746,-68.7475189,"ricknirschl",28800595,"2019-07-13 18:30:00 UTC",552206,"CC-BY-NC","https://www.inaturalist.org/observations/28800595","https://inaturalist-open-data.s3.amazonaws.com/photos/44919216/medium.jpeg","","","",1,0,"false",NA,"Penobscot, ME 04476, USA",182,"false","Superb Jewelwing","Calopteryx amata",96481,"Animalia","Arthropoda","Insecta","Odonata","Calopterygidae","Calopteryx",423,"KAWW"
